split,method,route_id,base_instance,n_customers,network_group,feasible,reason,completion_time,n_station_visits,consecutive_same_station,repeat_energy_added,repeat_time_added,loop_guard_hit,return_value,horizon,n_continue,n_charge
train,GreedyMinimumSufficientCharge,c103C15_NL__v0,c103,7,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,51,0,0.0,0.0,True,-1236.0,1236.0,3,51
train,GreedyMinimumSufficientCharge,c103C15_NL__v1,c103,8,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,2,0,0.0,0.0,False,-1236.0,1236.0,5,2
train,GreedyMinimumSufficientCharge,c103C15_VG__v0,c103,7,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,50,0,0.0,0.0,True,-1236.0,1236.0,1,50
train,GreedyMinimumSufficientCharge,c103C15_VG__v1,c103,8,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,1,0,0.0,0.0,False,-1236.0,1236.0,5,1
train,GreedyMinimumSufficientCharge,c106C15_L__v0,c106,7,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,0,0,0.0,0.0,False,-1236.0,1236.0,3,0
train,GreedyMinimumSufficientCharge,c106C15_L__v1,c106,8,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,0,0,0.0,0.0,False,-1236.0,1236.0,5,0
train,GreedyMinimumSufficientCharge,c106C15_NL__v0,c106,7,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,0,0,0.0,0.0,False,-1236.0,1236.0,3,0
train,GreedyMinimumSufficientCharge,c106C15_NL__v1,c106,8,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,50,0,0.0,0.0,True,-1236.0,1236.0,3,50
train,GreedyMinimumSufficientCharge,c106C15_VG__v0,c106,7,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,1,0,0.0,0.0,False,-1236.0,1236.0,3,1
train,GreedyMinimumSufficientCharge,c106C15_VG__v1,c106,8,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,0,0,0.0,0.0,False,-1236.0,1236.0,3,0
train,GreedyMinimumSufficientCharge,c208C15_L__v0,c208,15,Small_Network,False,NO_FEASIBLE_ACTION,3390.0,0,0,0.0,0.0,False,-3390.0,3390.0,3,0
train,GreedyMinimumSufficientCharge,c208C15_NL__v0,c208,15,Small_Network,False,NO_FEASIBLE_ACTION,3390.0,50,0,0.0,0.0,True,-3390.0,3390.0,4,50
train,GreedyMinimumSufficientCharge,c208C15_VG__v0,c208,15,Small_Network,False,NO_FEASIBLE_ACTION,3390.0,50,0,0.0,0.0,True,-3390.0,3390.0,4,50
train,GreedyMinimumSufficientCharge,r105C15_L__v0,r105,6,Small_Network,False,NO_FEASIBLE_ACTION,230.0,1,0,0.0,0.0,False,-230.0,230.0,4,1
train,GreedyMinimumSufficientCharge,r105C15_L__v1,r105,5,Small_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0.0,0.0,False,-230.0,230.0,3,0
train,GreedyMinimumSufficientCharge,r105C15_L__v2,r105,4,Small_Network,False,NO_FEASIBLE_ACTION,230.0,1,0,0.0,0.0,False,-230.0,230.0,4,1
train,GreedyMinimumSufficientCharge,r105C15_NL__v0,r105,6,Small_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0.0,0.0,False,-230.0,230.0,2,0
train,GreedyMinimumSufficientCharge,r105C15_NL__v1,r105,5,Small_Network,False,NO_FEASIBLE_ACTION,230.0,51,0,0.0,0.0,True,-230.0,230.0,3,51
train,GreedyMinimumSufficientCharge,r105C15_NL__v2,r105,4,Small_Network,False,NO_FEASIBLE_ACTION,230.0,50,0,0.0,0.0,True,-230.0,230.0,3,50
train,GreedyMinimumSufficientCharge,r105C15_VG__v0,r105,6,Small_Network,False,NO_FEASIBLE_ACTION,230.0,50,0,0.0,0.0,True,-230.0,230.0,1,50
train,GreedyMinimumSufficientCharge,r105C15_VG__v1,r105,5,Small_Network,False,NO_FEASIBLE_ACTION,230.0,51,0,0.0,0.0,True,-230.0,230.0,3,51
train,GreedyMinimumSufficientCharge,r105C15_VG__v2,r105,4,Small_Network,False,NO_FEASIBLE_ACTION,230.0,50,0,0.0,0.0,True,-230.0,230.0,3,50
train,GreedyMinimumSufficientCharge,r202C15_L__v0,r202,15,Small_Network,False,NO_FEASIBLE_ACTION,1000.0,1,0,0.0,0.0,False,-1000.0,1000.0,3,1
train,GreedyMinimumSufficientCharge,r202C15_NL__v0,r202,15,Small_Network,False,NO_FEASIBLE_ACTION,1000.0,50,0,0.0,0.0,True,-1000.0,1000.0,2,50
train,GreedyMinimumSufficientCharge,r202C15_VG__v0,r202,15,Small_Network,False,ZERO_CHARGE_NOOP,1000.0,5,0,0.0,0.0,False,-1000.0,1000.0,5,5
train,GreedyMinimumSufficientCharge,rc103C15_L__v0,rc103,5,Small_Network,False,NO_FEASIBLE_ACTION,240.0,0,0,0.0,0.0,False,-240.0,240.0,4,0
train,GreedyMinimumSufficientCharge,rc103C15_L__v1,rc103,4,Small_Network,False,NO_FEASIBLE_ACTION,240.0,1,0,0.0,0.0,False,-240.0,240.0,2,1
train,GreedyMinimumSufficientCharge,rc103C15_L__v2,rc103,6,Small_Network,False,NO_FEASIBLE_ACTION,240.0,0,0,0.0,0.0,False,-240.0,240.0,4,0
train,GreedyMinimumSufficientCharge,rc103C15_NL__v0,rc103,5,Small_Network,False,NO_FEASIBLE_ACTION,240.0,50,0,0.0,0.0,True,-240.0,240.0,3,50
train,GreedyMinimumSufficientCharge,rc103C15_NL__v1,rc103,4,Small_Network,False,NO_FEASIBLE_ACTION,240.0,0,0,0.0,0.0,False,-240.0,240.0,2,0
train,GreedyMinimumSufficientCharge,rc103C15_NL__v2,rc103,6,Small_Network,False,NO_FEASIBLE_ACTION,240.0,50,0,0.0,0.0,True,-240.0,240.0,2,50
train,GreedyMinimumSufficientCharge,rc103C15_VG__v0,rc103,5,Small_Network,False,NO_FEASIBLE_ACTION,240.0,50,0,0.0,0.0,True,-240.0,240.0,3,50
train,GreedyMinimumSufficientCharge,rc103C15_VG__v1,rc103,4,Small_Network,False,NO_FEASIBLE_ACTION,240.0,51,0,0.0,0.0,True,-240.0,240.0,3,51
train,GreedyMinimumSufficientCharge,rc103C15_VG__v2,rc103,6,Small_Network,False,NO_FEASIBLE_ACTION,240.0,50,0,0.0,0.0,True,-240.0,240.0,2,50
train,GreedyMinimumSufficientCharge,rc202C15_L__v0,rc202,15,Small_Network,False,NO_FEASIBLE_ACTION,960.0,1,0,0.0,0.0,False,-960.0,960.0,2,1
train,GreedyMinimumSufficientCharge,rc202C15_NL__v0,rc202,15,Small_Network,False,NO_FEASIBLE_ACTION,960.0,2,0,0.0,0.0,False,-960.0,960.0,3,2
train,GreedyMinimumSufficientCharge,rc202C15_VG__v0,rc202,15,Small_Network,False,ZERO_CHARGE_NOOP,960.0,0,0,0.0,0.0,False,-960.0,960.0,1,0
train,GreedyMinimumSufficientCharge,rc204C15_L__v0,rc204,15,Small_Network,False,NO_FEASIBLE_ACTION,960.0,0,0,0.0,0.0,False,-960.0,960.0,3,0
train,GreedyMinimumSufficientCharge,rc204C15_NL__v0,rc204,15,Small_Network,False,NO_FEASIBLE_ACTION,960.0,3,0,0.0,0.0,False,-960.0,960.0,6,3
train,GreedyMinimumSufficientCharge,rc204C15_VG__v0,rc204,15,Small_Network,False,NO_FEASIBLE_ACTION,960.0,6,0,0.0,0.0,False,-960.0,960.0,7,6
train,GreedyMinimumSufficientCharge,c103C5_L__v0,c103,5,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,0,0,0.0,0.0,False,-1236.0,1236.0,2,0
train,GreedyMinimumSufficientCharge,c103C5_NL__v0,c103,5,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,0,0,0.0,0.0,False,-1236.0,1236.0,2,0
train,GreedyMinimumSufficientCharge,c103C5_VG__v0,c103,5,Small_Network,False,NO_FEASIBLE_ACTION,1236.0,0,0,0.0,0.0,False,-1236.0,1236.0,2,0
train,GreedyMinimumSufficientCharge,c206C5_L__v0,c206,5,Small_Network,False,NO_FEASIBLE_ACTION,3390.0,1,0,0.0,0.0,False,-3390.0,3390.0,3,1
train,GreedyMinimumSufficientCharge,c206C5_NL__v0,c206,5,Small_Network,False,NO_FEASIBLE_ACTION,3390.0,3,0,0.0,0.0,False,-3390.0,3390.0,4,3
train,GreedyMinimumSufficientCharge,c206C5_VG__v0,c206,5,Small_Network,False,NO_FEASIBLE_ACTION,3390.0,50,0,0.0,0.0,True,-3390.0,3390.0,1,50
train,GreedyMinimumSufficientCharge,c208C5_L__v0,c208,5,Small_Network,False,NO_FEASIBLE_ACTION,3390.0,1,0,0.0,0.0,False,-3390.0,3390.0,5,1
train,GreedyMinimumSufficientCharge,c208C5_NL__v0,c208,5,Small_Network,False,NO_FEASIBLE_ACTION,3390.0,1,0,0.0,0.0,False,-3390.0,3390.0,5,1
train,GreedyMinimumSufficientCharge,c208C5_VG__v0,c208,5,Small_Network,False,NO_FEASIBLE_ACTION,3390.0,1,0,0.0,0.0,False,-3390.0,3390.0,5,1
train,GreedyMinimumSufficientCharge,r104C5_L__v0,r104,5,Small_Network,False,NO_FEASIBLE_ACTION,230.0,1,0,0.0,0.0,False,-230.0,230.0,3,1
train,GreedyMinimumSufficientCharge,r104C5_NL__v0,r104,5,Small_Network,False,NO_FEASIBLE_ACTION,230.0,52,0,0.0,0.0,True,-230.0,230.0,3,52
train,GreedyMinimumSufficientCharge,r104C5_VG__v0,r104,5,Small_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0.0,0.0,False,-230.0,230.0,2,0
train,GreedyMinimumSufficientCharge,r105C5_L__v0,r105,2,Small_Network,False,NO_FEASIBLE_ACTION,230.0,0,0,0.0,0.0,False,-230.0,230.0,2,0
train,GreedyMinimumSufficientCharge,r105C5_L__v1,r105,3,Small_Network,False,NO_FEASIBLE_ACTION,230.0,1,0,0.0,0.0,False,-230.0,230.0,2,1
train,GreedyMinimumSufficientCharge,r105C5_NL__v0,r105,2,Small_Network,False,NO_FEASIBLE_ACTION,230.0,50,0,0.0,0.0,True,-230.0,230.0,1,50
train,GreedyMinimumSufficientCharge,r105C5_NL__v1,r105,3,Small_Network,False,NO_FEASIBLE_ACTION,230.0,50,0,0.0,0.0,True,-230.0,230.0,1,50
train,GreedyMinimumSufficientCharge,r105C5_VG__v0,r105,2,Small_Network,False,NO_FEASIBLE_ACTION,230.0,50,0,0.0,0.0,True,-230.0,230.0,1,50
train,GreedyMinimumSufficientCharge,r105C5_VG__v1,r105,3,Small_Network,False,MASK_VIOLATION,230.0,1,0,0.0,0.0,False,-230.0,230.0,1,1
train,GreedyMinimumSufficientCharge,r202C5_L__v0,r202,5,Small_Network,False,NO_FEASIBLE_ACTION,1000.0,0,0,0.0,0.0,False,-1000.0,1000.0,2,0
train,GreedyMinimumSufficientCharge,r202C5_NL__v0,r202,5,Small_Network,False,NO_FEASIBLE_ACTION,1000.0,0,0,0.0,0.0,False,-1000.0,1000.0,2,0
train,GreedyMinimumSufficientCharge,r202C5_VG__v0,r202,5,Small_Network,False,NO_FEASIBLE_ACTION,1000.0,0,0,0.0,0.0,False,-1000.0,1000.0,2,0
train,GreedyMinimumSufficientCharge,r203C5_L__v0,r203,5,Small_Network,False,NO_FEASIBLE_ACTION,1000.0,1,0,0.0,0.0,False,-1000.0,1000.0,2,1
train,GreedyMinimumSufficientCharge,r203C5_NL__v0,r203,5,Small_Network,False,NO_FEASIBLE_ACTION,1000.0,0,0,0.0,0.0,False,-1000.0,1000.0,1,0
train,GreedyMinimumSufficientCharge,r203C5_VG__v0,r203,5,Small_Network,False,NO_FEASIBLE_ACTION,1000.0,4,0,0.0,0.0,False,-1000.0,1000.0,2,4
train,GreedyMinimumSufficientCharge,rc105C5_L__v0,rc105,3,Small_Network,False,MASK_VIOLATION,240.0,1,0,0.0,0.0,False,-240.0,240.0,1,1
train,GreedyMinimumSufficientCharge,rc105C5_L__v1,rc105,2,Small_Network,False,NO_FEASIBLE_ACTION,240.0,0,0,0.0,0.0,False,-240.0,240.0,2,0
